calendar_year,city,state,closed_date,amount_awarded
2013.0,Philadelphia,PA,2013-01-02,100000.0
2013.0,Philadelphia,PA,2013-01-02,42000.0
2013.0,Philadelphia,PA,2013-01-03,65000.0
2013.0,Philadelphia,PA,2013-01-03,20000.0
2013.0,Philadelphia,PA,2013-01-09,9000.0
2013.0,Philadelphia,PA,2013-01-09,9000.0
2013.0,Philadelphia,PA,2013-01-09,1906.8
2013.0,Philadelphia,PA,2013-01-11,98000.0
2013.0,Philadelphia,PA,2013-01-16,15000.0
2013.0,Philadelphia,PA,2013-01-17,5000.0
2013.0,Philadelphia,PA,2013-01-18,50000.0
2013.0,Philadelphia,PA,2013-01-22,95000.0
2013.0,Philadelphia,PA,2013-01-28,6250.0
2013.0,Philadelphia,PA,2013-01-28,65000.0
2013.0,Philadelphia,PA,2013-02-01,30000.0
2013.0,Philadelphia,PA,2013-02-04,12500.0
2013.0,Philadelphia,PA,2013-02-05,72500.0
2013.0,Philadelphia,PA,2013-02-06,22000.0
2013.0,Philadelphia,PA,2013-02-06,12500.0
2013.0,Philadelphia,PA,2013-02-11,15000.0
2013.0,Philadelphia,PA,2013-02-12,46000.0
2013.0,Philadelphia,PA,2013-02-14,30000.0
2013.0,Philadelphia,PA,2013-02-22,2500000.0
2013.0,Philadelphia,PA,2013-02-27,1500.0
2013.0,Philadelphia,PA,2013-03-04,150000.0
2013.0,Philadelphia,PA,2013-03-04,10000.0
2013.0,Philadelphia,PA,2013-03-04,5000.0
2013.0,Philadelphia,PA,2013-03-06,6000.0
2013.0,Philadelphia,PA,2013-03-15,95000.0
2013.0,Philadelphia,PA,2013-03-15,22500.0
2013.0,Philadelphia,PA,2013-03-21,1970.0
2013.0,Philadelphia,PA,2013-03-21,56300.0
2013.0,Philadelphia,PA,2013-03-21,5089.0
2013.0,Philadelphia,PA,2013-03-22,10000.0
2013.0,Philadelphia,PA,2013-03-25,15000.0
2013.0,Philadelphia,PA,2013-04-01,75000.0
2013.0,Philadelphia,PA,2013-04-08,25000.0
2013.0,Philadelphia,PA,2013-04-10,15000.0
2013.0,Philadelphia,PA,2013-04-10,2500.0
2013.0,Philadelphia,PA,2013-04-11,375.0
2013.0,Philadelphia,PA,2013-04-12,53750.0
2013.0,Philadelphia,PA,2013-04-23,1801.0
2013.0,Philadelphia,PA,2013-05-02,40000.0
2013.0,Philadelphia,PA,2013-05-03,850000.0
2013.0,Philadelphia,PA,2013-05-07,17500.0
2013.0,Philadelphia,PA,2013-05-07,3500.0
2013.0,Philadelphia,PA,2013-05-10,15000.0
